"item_id","title","description","actors"
"29","Get Out","A Black man uncovers dark secrets during a visit to his white girlfriend’s family.","David Kaluuya,Allison Williams"
"35","Black Panther","A king returns to his African nation and becomes the superhero Black Panther.","Michael Jordan,Chadwick Boseman,Lupita Nyong'o"
"89","Sinners","Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.","Hailee Steinfeld,Michael Jordan"
